Sr No,Dates,Average sale price
246,02-09-2020,1355.9925
247,03-09-2020,539.3
248,04-09-2020,572.62
249,05-09-2020,651.49
250,06-09-2020,1079.643333
251,07-09-2020,NA
252,08-09-2020,1380.58
253,09-09-2020,NA
254,10-09-2020,NA
255,11-09-2020,NA
256,12-09-2020,597.7333333
257,13-09-2020,3361.72
258,14-09-2020,NA
259,15-09-2020,796.87
260,16-09-2020,790.13
261,17-09-2020,1027.1725
262,18-09-2020,NA
263,19-09-2020,1185.195
264,20-09-2020,829.6375
265,21-09-2020,908.6525
266,22-09-2020,711.12
267,23-09-2020,739.48
268,24-09-2020,814.0075
269,25-09-2020,1011.52
270,26-09-2020,NA
271,27-09-2020,NA
272,28-09-2020,NA
273,29-09-2020,1993.4
274,30-09-2020,1993.4
275,01-10-2020,NA
276,02-10-2020,996.8527273
277,03-10-2020,NA
278,04-10-2020,NA
279,05-10-2020,538.7766667
280,06-10-2020,562.39
281,07-10-2020,767.99
282,08-10-2020,1388.066
283,09-10-2020,766.355
284,10-10-2020,NA
285,11-10-2020,NA
286,12-10-2020,NA
287,13-10-2020,NA
288,14-10-2020,NA
289,15-10-2020,905.84
290,16-10-2020,NA
291,17-10-2020,NA
292,18-10-2020,741.78
293,19-10-2020,438.68
294,20-10-2020,NA
295,21-10-2020,NA
296,22-10-2020,980.61
297,23-10-2020,720.12
298,24-10-2020,603.27
299,25-10-2020,736.49
300,26-10-2020,585.04
301,27-10-2020,NA
302,28-10-2020,NA
303,29-10-2020,804.32
304,30-10-2020,NA
305,31-10-2020,NA
306,01-11-2020,NA
307,02-11-2020,1369.688235
308,03-11-2020,352.62
309,04-11-2020,706.86
310,05-11-2020,629.26
311,06-11-2020,NA
312,07-11-2020,1339.02
313,08-11-2020,NA
314,09-11-2020,NA
315,10-11-2020,NA
316,11-11-2020,676.5033333
317,12-11-2020,NA
318,13-11-2020,NA
319,14-11-2020,812.49
320,15-11-2020,NA
321,16-11-2020,623.19
322,17-11-2020,875.27
323,18-11-2020,780.4
324,19-11-2020,556.3133333
325,20-11-2020,972.7
326,21-11-2020,NA
327,22-11-2020,787.79
328,23-11-2020,976.1
329,24-11-2020,NA
330,25-11-2020,1654.54
331,26-11-2020,NA
332,27-11-2020,NA
333,28-11-2020,NA
334,29-11-2020,835.03
335,30-11-2020,NA
336,01-12-2020,NA
337,02-12-2020,1131.55
338,03-12-2020,NA
339,04-12-2020,NA
340,05-12-2020,NA
341,06-12-2020,509.75
342,07-12-2020,NA
343,08-12-2020,1384.81
344,09-12-2020,772.525
345,10-12-2020,1592.64
346,11-12-2020,NA
347,12-12-2020,589.77
348,13-12-2020,760.9822222
349,14-12-2020,NA
350,15-12-2020,NA
351,16-12-2020,NA
352,17-12-2020,NA
353,18-12-2020,1052.323333
354,19-12-2020,923.4
355,20-12-2020,1496.36
356,21-12-2020,738.9933333
357,22-12-2020,1308.37
358,23-12-2020,NA
359,24-12-2020,589.154
360,25-12-2020,842.20125
361,26-12-2020,NA
362,27-12-2020,NA
363,28-12-2020,650.205
364,29-12-2020,969.32
365,30-12-2020,NA
366,31-12-2020,NA
367,01-01-2021,NA
368,02-01-2021,2288.94
369,03-01-2021,3161.311429
370,04-01-2021,9819.26
371,05-01-2021,8882.89
372,06-01-2021,4096.72
373,07-01-2021,NA
374,08-01-2021,6738.61
375,09-01-2021,NA
376,10-01-2021,5875.65
377,11-01-2021,17418.418
378,12-01-2021,21105.21455
379,13-01-2021,927.77
380,14-01-2021,NA
381,15-01-2021,NA
382,16-01-2021,994.17
383,17-01-2021,1100.343333
384,18-01-2021,1348.196
385,19-01-2021,1336.215714
386,20-01-2021,2710.108333
387,21-01-2021,1520.98
388,22-01-2021,1395.438333
389,23-01-2021,1469.31
390,24-01-2021,1308.11
391,25-01-2021,NA
392,26-01-2021,1235.4325
393,27-01-2021,1202.61
394,28-01-2021,NA
395,29-01-2021,1712.935
396,30-01-2021,2451.205
397,31-01-2021,1819.58
398,01-02-2021,1571.78
399,02-02-2021,NA
400,03-02-2021,3009.152941
401,04-02-2021,7890.665
402,05-02-2021,8626.87
403,06-02-2021,NA
404,07-02-2021,4723.59
405,08-02-2021,NA
406,09-02-2021,NA
407,10-02-2021,NA
408,11-02-2021,14503.25
