Dates,value,,,,,,
08-06-2020, 112.76 ,,,,,,
09-06-2020, 114.68 ,,,,,,
10-06-2020, 115.45 ,,,,,,
11-06-2020, 115.39 ,,,,,,
12-06-2020, 115.71 ,,,,,,
13-06-2020, 116.40 ,,,,,,
14-06-2020, 116.93 ,,,,,,
15-06-2020, 116.75 ,,,,,,
16-06-2020, 114.81 ,,,,,,
17-06-2020, 115.33 ,,,,,,
18-06-2020, 118.28 ,,,,,,
19-06-2020, 117.47 ,,,,,,
20-06-2020, 115.45 ,,,,,,
21-06-2020, 118.14 ,,,,,,
22-06-2020, 119.77 ,,,,,,
23-06-2020, 120.45 ,,,,,,
24-06-2020, 119.66 ,,,,,,
25-06-2020, 116.97 ,,,,,,
26-06-2020, 110.86 ,,,,,,
27-06-2020, 112.65 ,,,,,,
28-06-2020, 112.18 ,,,,,,
29-06-2020, 109.45 ,,,,,,
30-06-2020, 107.54 ,,,,,,
01-07-2020, 108.52 ,,,,,,
02-07-2020, 108.31 ,,,,,,
03-07-2020, 105.83 ,,,,,,
04-07-2020, 102.18 ,,,,,,
05-07-2020, 101.28 ,,,,,,
06-07-2020, 99.66 ,,,,,,
07-07-2020, 98.73 ,,,,,,
08-07-2020, 98.86 ,,,,,,
09-07-2020, 99.19 ,,,,,,
10-07-2020, 99.70 ,,,,,,
11-07-2020, 99.39 ,,,,,,
12-07-2020, 99.12 ,,,,,,
13-07-2020, 98.83 ,,,,,,
14-07-2020, 98.69 ,,,,,,
15-07-2020, 98.95 ,,,,,,
16-07-2020, 99.92 ,,,,,,
17-07-2020, 100.80 ,,,,,,
18-07-2020, 101.17 ,,,,,,
19-07-2020, 101.18 ,,,,,,
20-07-2020, 100.42 ,,,,,,
21-07-2020, 99.26 ,,,,,,
22-07-2020, 100.12 ,,,,,,
23-07-2020, 103.40 ,,,,,,
24-07-2020, 106.20 ,,,,,,
25-07-2020, 107.66 ,,,,,,
26-07-2020, 107.44 ,,,,,,
27-07-2020, 102.89 ,,,,,,
28-07-2020, 89.49 ,,,,,,
29-07-2020, 90.42 ,,,,,,
30-07-2020, 98.94 ,,,,,,
31-07-2020, 107.41 ,,,,,,
01-08-2020, 111.45 ,,,,,,
02-08-2020, 113.24 ,,,,,,
03-08-2020, 112.33 ,,,,,,
04-08-2020, 111.62 ,,,,,,
05-08-2020, 115.18 ,,,,,,
06-08-2020, 116.75 ,,,,,,
07-08-2020, 116.96 ,,,,,,
08-08-2020, 119.25 ,,,,,,
09-08-2020, 124.90 ,,,,,,
10-08-2020, 126.68 ,,,,,,
11-08-2020, 120.95 ,,,,,,
12-08-2020, 119.94 ,,,,,,
13-08-2020, 124.77 ,,,,,,
14-08-2020, 124.18 ,,,,,,
15-08-2020, 125.37 ,,,,,,
16-08-2020, 127.08 ,,,,,,
17-08-2020, 128.09 ,,,,,,
18-08-2020, 129.17 ,,,,,,
19-08-2020, 127.05 ,,,,,,
20-08-2020, 126.73 ,,,,,,
21-08-2020, 133.70 ,,,,,,
22-08-2020, 134.67 ,,,,,,
23-08-2020, 132.32 ,,,,,,
24-08-2020, 128.16 ,,,,,,
25-08-2020, 126.50 ,,,,,,
26-08-2020, 126.91 ,,,,,,
27-08-2020, 128.02 ,,,,,,
28-08-2020, 127.82 ,,,,,,
29-08-2020, 127.42 ,,,,,,
30-08-2020, 127.02 ,,,,,,
31-08-2020, 122.43 ,,,,,,
01-09-2020, 122.35 ,,,,,,
02-09-2020, 128.15 ,,,,,,
03-09-2020, 122.42 ,,,,,,
04-09-2020, 121.76 ,,,,,,
